Species# guide;Family;Genus;species;Scientific Name;Link Scientific name to Description in Cajas Flora;Flora base link;flora key;Author;;flower color1;flower color2;Life form1/forma de vida;Life form2/forma de vida;3. Photographer;4. Copyright;5. Photo date;8. Photo local    ;Link Scientif Name to Names in Tropicos;tropicos id;tropicos link
96;Haloragaceae;Myriophyllum;quitense;Myriophyllum quitense;Myriophyllum quitense Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Myriophyllum+quitense;96. Myriophyllum quitense Kunth;;brown;green;acquatic;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;15000089;http://www.tropicos.org/Name/15000089
98;Poaceae o Gramineae;Chusquea/Neurolepis;villosa;Neurolepis villosa;Neurolepis villosa L. G. Clark;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Neurolepis+villosa;98. Neurolepis villosa L. G. Clark;;brown;;grass;herb;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;50077093;http://www.tropicos.org/Name/50077093
73;Malvaceae;Nototriche;hartwegii;Nototriche hartwegii;Nototriche hartwegii A. W. Hill;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Nototriche+hartwegii;73. Nototriche hartwegii A. W. Hill;;purple;;cushion;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;19600568;http://www.tropicos.org/Name/19600568
22;Asteraceae ;Oritrophium;crocifolium;Oritrophium crocifolium;Oritrophium crocifolium (Kunth) Cuatrec.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Oritrophium+crocifolium;22. Oritrophium crocifolium (Lam.) Cuatrec.;;white;yellow;herb;rosette;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2738138;http://www.tropicos.org/Name/2738138
64;Plantaginaceae;Ourisia;chamaedrifolia;Ourisia chamaedrifolia;Ourisia chamaedrifolia Benth.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Ourisia+chamaedrifolia;64. Ourisia chamaedrifolia Benth.;;pink;;rosette;herb;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;29202277;http://www.tropicos.org/Name/29202277
31;Oxalidaceae;Oxalis;phaeotricha;Oxalis phaeotricha;Oxalis phaeotricha Diels;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Oxalis+phaeotricha;31. Oxalis phaeotricha Diels;;yellow;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;23700365;http://www.tropicos.org/Name/23700365
100;Poaceae o Gramineae;Paspalum;bonplandianum;Paspalum bonplandianum;Paspalum bonplandianum Fl�gg�;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Paspalum+bonplandianum;100. Paspalum bonplandianum Fl�gg�;;brown;;grass;herb;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;25513101;http://www.tropicos.org/Name/25513101
67;Passifloraceae;Passiflora;cumbalensis;Passiflora cumbalensis;Passiflora cumbalensis (H. Karst.) Harms;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Passiflora+cumbalensis;67. Passiflora cumbalensis (Karst.) Harms;;pink;purple;liana;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;24200022;http://www.tropicos.org/Name/24200022
62;Orobanchaceae ;Pedicularis;incurva;Pedicularis incurva;Pedicularis incurva Benth.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Pedicularis+incurva;62. Pedicularis incurva Benth.;;pink;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;29206498;http://www.tropicos.org/Name/29206498
40;Asteraceae ;Pentacalia;arbutifolia;Pentacalia arbutifolia;Pentacalia arbutifolia (Kunth) Cuatrec.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Pentacalia+arbutifolia;40. Pentacalia arbutifolia (Kunth) Cuatrec.;;yellow;;shrub;;-;-;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2733350;http://www.tropicos.org/Name/2733350
41;Asteraceae  ;Pentacalia;vacciniodes;Pentacalia vacciniodes;Pentacalia vacciniodes (Kunth) Cuatrec.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Pentacalia+vacciniodes;41. Pentacalia vacciniodes (Kunth) Cuatrec.;;yellow;;shrub;;-;;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2733432;http://www.tropicos.org/Name/2733432
